zone_id,timestamp,temperature,humidity,air_pressure,dust_concentration,noise_level,light_intensity
Zone-A,2024-03-03 11:30:00,22.6,49.5,101.35,12.6,62.4,529.0
Zone-D,2024-03-03 12:00:00,22.6,48.7,101.58,12.5,66.3,523.0
Zone-A,2024-03-03 12:30:00,22.1,53.8,101.63,11.5,58.2,476.0
Zone-B,2024-03-03 13:00:00,20.5,48.7,101.66,23.1,62.2,511.0
Zone-C,2024-03-03 13:30:00,22.3,51.0,101.03,18.7,67.7,476.0
Zone-A,2024-03-03 14:00:00,23.8,45.7,100.96,15.8,66.3,492.0
Zone-B,2024-03-03 14:30:00,23.7,48.0,101.54,17.4,70.6,411.0
Zone-D,2024-03-03 15:00:00,21.3,47.3,101.46,19.7,63.9,530.0
Zone-A,2024-03-03 15:30:00,24.2,51.0,101.44,9.1,69.7,485.0
Zone-C,2024-03-03 16:00:00,26.0,47.4,101.39,17.5,57.5,589.0
Zone-C,2024-03-03 16:30:00,23.1,45.5,101.37,16.1,64.6,470.0
Zone-B,2024-03-03 17:00:00,21.9,52.6,101.46,15.0,65.7,494.0
Zone-C,2024-03-03 17:30:00,20.5,49.8,101.15,12.0,57.7,480.0
Zone-B,2024-03-03 18:00:00,23.2,53.7,101.39,11.1,64.5,442.0
Zone-C,2024-03-03 18:30:00,24.9,48.8,101.2,17.8,64.9,554.0
Zone-A,2024-03-03 19:00:00,20.3,50.3,101.4,7.1,63.0,469.0
Zone-A,2024-03-03 19:30:00,22.1,49.1,101.36,14.3,68.4,606.0
Zone-D,2024-03-03 20:00:00,19.7,50.1,101.52,12.9,65.8,481.0
Zone-C,2024-03-03 20:30:00,20.5,46.9,100.81,15.5,65.7,452.0
Zone-A,2024-03-03 21:00:00,21.6,45.7,101.41,13.8,67.3,484.0
Zone-B,2024-03-03 21:30:00,20.5,48.4,101.6,21.3,60.5,545.0
Zone-D,2024-03-03 22:00:00,20.3,47.7,101.34,16.5,62.8,531.0
Zone-C,2024-03-03 22:30:00,23.8,52.2,101.11,13.7,67.6,578.0
Zone-A,2024-03-03 23:00:00,20.1,50.9,101.45,10.8,68.1,606.0
Zone-D,2024-03-03 23:30:00,23.0,51.7,101.15,13.5,63.1,456.0
Zone-D,2024-03-04 00:00:00,21.6,50.9,101.13,14.0,66.0,394.0
Zone-C,2024-03-04 00:30:00,23.4,50.6,101.35,18.5,67.8,530.0
Zone-B,2024-03-04 01:00:00,22.4,50.0,101.18,12.1,66.2,520.0
Zone-D,2024-03-04 01:30:00,22.2,46.0,100.77,15.2,59.5,516.0
Zone-D,2024-03-04 02:00:00,24.9,51.0,101.21,11.9,63.3,498.0
Zone-D,2024-03-04 02:30:00,23.6,50.4,101.24,17.0,69.4,516.0
Zone-B,2024-03-04 03:00:00,22.3,45.0,101.03,10.5,64.4,458.0
Zone-C,2024-03-04 03:30:00,21.3,47.5,101.15,9.4,65.7,535.0
Zone-A,2024-03-04 04:00:00,22.1,51.1,101.39,16.3,67.5,560.0
Zone-D,2024-03-04 04:30:00,24.4,44.2,101.39,11.4,69.2,503.0
Zone-B,2024-03-04 05:00:00,22.4,50.4,101.34,19.9,68.7,580.0
Zone-A,2024-03-04 05:30:00,21.7,43.6,101.45,11.7,63.9,497.0
Zone-A,2024-03-04 06:00:00,22.0,51.9,101.12,16.9,64.4,630.0
Zone-B,2024-03-04 06:30:00,19.6,50.4,101.42,13.8,63.3,566.0
Zone-D,2024-03-04 07:00:00,23.3,47.6,101.0,16.8,66.0,529.0
Zone-B,2024-03-04 07:30:00,21.8,52.6,101.62,19.6,62.5,625.0
Zone-C,2024-03-04 08:00:00,23.0,45.7,101.39,15.7,64.7,490.0
Zone-D,2024-03-04 08:30:00,23.1,52.1,101.18,13.4,63.3,491.0
Zone-C,2024-03-04 09:00:00,23.3,53.6,101.26,18.3,66.3,507.0
Zone-D,2024-03-04 09:30:00,24.8,51.0,101.27,17.5,61.3,489.0
Zone-A,2024-03-04 10:00:00,22.4,52.2,101.35,11.1,62.3,478.0
Zone-C,2024-03-04 10:30:00,22.4,46.1,101.58,15.9,65.9,491.0
Zone-D,2024-03-04 11:00:00,19.8,50.3,101.45,14.5,68.2,497.0
Zone-C,2024-03-04 11:30:00,23.0,49.7,101.38,17.6,61.8,532.0
Zone-C,2024-03-04 12:00:00,23.6,56.6,101.31,8.7,59.7,456.0
Zone-D,2024-03-04 12:30:00,23.9,56.6,101.22,15.2,57.3,533.0
Zone-B,2024-03-04 13:00:00,22.2,49.2,101.11,13.9,61.0,457.0
Zone-A,2024-03-04 13:30:00,20.1,46.9,101.07,16.7,61.6,497.0
Zone-B,2024-03-04 14:00:00,20.4,46.8,101.08,17.9,64.5,463.0
Zone-D,2024-03-04 14:30:00,20.5,46.0,101.16,10.7,63.7,465.0
Zone-C,2024-03-04 15:00:00,20.8,53.7,101.25,14.5,68.8,432.0
Zone-A,2024-03-04 15:30:00,21.3,45.4,101.31,16.8,57.7,543.0
Zone-C,2024-03-04 16:00:00,22.5,50.1,101.05,17.3,70.0,480.0
Zone-D,2024-03-04 16:30:00,21.5,50.1,101.22,14.5,68.1,497.0
Zone-A,2024-03-04 17:00:00,22.4,56.1,101.59,11.9,70.2,569.0
Zone-C,2024-03-04 17:30:00,24.2,48.1,101.34,13.8,65.4,588.0
Zone-C,2024-03-04 18:00:00,22.2,44.8,101.23,13.0,70.4,459.0
Zone-A,2024-03-04 18:30:00,21.4,48.9,101.62,17.9,66.7,512.0
Zone-C,2024-03-04 19:00:00,22.3,50.2,101.71,11.2,56.7,522.0
Zone-B,2024-03-04 19:30:00,24.1,50.6,100.9,17.2,61.8,436.0
Zone-B,2024-03-04 20:00:00,20.5,45.2,101.34,13.1,61.0,619.0
Zone-D,2024-03-04 20:30:00,21.2,50.2,101.61,17.0,70.7,465.0
Zone-D,2024-03-04 21:00:00,23.6,51.5,101.5,17.5,62.7,641.0
Zone-C,2024-03-04 21:30:00,18.6,47.4,101.44,15.9,65.4,536.0
Zone-B,2024-03-04 22:00:00,20.7,52.5,101.27,19.2,64.1,523.0
Zone-B,2024-03-04 22:30:00,23.0,52.7,101.31,14.1,62.7,524.0
Zone-B,2024-03-04 23:00:00,19.2,50.9,101.38,20.6,63.0,509.0
Zone-B,2024-03-04 23:30:00,22.2,46.7,101.3,11.0,67.9,530.0
Zone-C,2024-03-05 00:00:00,22.6,48.1,101.58,11.7,65.2,442.0
Zone-D,2024-03-05 00:30:00,21.7,53.8,101.39,12.2,63.4,481.0
Zone-A,2024-03-05 01:00:00,20.7,50.8,101.74,13.3,70.8,500.0
Zone-B,2024-03-05 01:30:00,22.5,50.8,100.96,16.4,57.7,510.0
Zone-A,2024-03-05 02:00:00,22.2,45.4,101.31,14.1,64.5,493.0
Zone-B,2024-03-05 02:30:00,21.1,50.2,101.47,14.3,64.8,532.0
Zone-A,2024-03-05 03:00:00,25.4,49.4,100.96,12.3,66.8,576.0
Zone-A,2024-03-05 03:30:00,20.6,49.9,101.3,12.7,69.6,558.0
Zone-C,2024-03-05 04:00:00,22.5,48.7,101.49,16.5,63.7,549.0
Zone-C,2024-03-05 04:30:00,22.6,45.0,101.1,11.0,68.1,465.0
Zone-C,2024-03-05 05:00:00,22.9,56.5,101.46,13.7,62.8,485.0
Zone-B,2024-03-05 05:30:00,20.5,46.6,101.14,16.6,63.4,489.0
Zone-C,2024-03-05 06:00:00,22.7,52.2,100.91,9.8,63.8,444.0
Zone-A,2024-03-05 06:30:00,23.3,48.6,101.66,13.5,65.9,467.0
Zone-A,2024-03-05 07:00:00,22.7,51.5,101.48,14.6,68.8,515.0
Zone-A,2024-03-05 07:30:00,21.0,48.1,101.45,18.8,61.6,538.0
Zone-B,2024-03-05 08:00:00,19.8,48.1,101.4,12.5,69.4,530.0
Zone-D,2024-03-05 08:30:00,20.2,52.0,101.04,15.0,67.6,535.0
Zone-D,2024-03-05 09:00:00,21.9,49.0,101.07,15.5,67.4,603.0
Zone-B,2024-03-05 09:30:00,21.3,52.5,101.45,13.6,67.2,459.0
Zone-B,2024-03-05 10:00:00,22.4,49.4,101.39,16.6,63.4,500.0
Zone-B,2024-03-05 10:30:00,21.8,46.7,101.23,13.3,61.6,460.0
Zone-C,2024-03-05 11:00:00,21.6,50.2,101.05,18.6,66.8,496.0
Zone-D,2024-03-05 11:30:00,20.2,49.4,101.25,11.8,61.5,538.0
Zone-C,2024-03-05 12:00:00,21.5,52.7,101.3,17.3,67.2,523.0
Zone-B,2024-03-05 12:30:00,23.8,50.3,101.0,11.0,63.0,537.0
Zone-B,2024-03-05 13:00:00,21.4,50.6,101.41,15.5,58.1,441.0
Zone-C,2024-03-05 13:30:00,24.6,51.0,100.76,15.2,70.4,514.0
Zone-D,2024-03-05 14:00:00,22.1,44.5,101.25,10.1,61.3,427.0
Zone-D,2024-03-05 14:30:00,24.6,52.2,101.58,11.0,65.6,450.0
Zone-D,2024-03-05 15:00:00,20.6,51.4,101.34,15.9,61.2,506.0
Zone-A,2024-03-05 15:30:00,22.5,48.0,101.25,10.1,58.5,600.0
Zone-B,2024-03-05 16:00:00,22.3,48.9,101.46,12.4,65.3,555.0
Zone-B,2024-03-05 16:30:00,20.3,48.5,101.02,17.5,65.6,559.0
Zone-B,2024-03-05 17:00:00,23.3,49.2,101.38,16.3,67.2,573.0
Zone-D,2024-03-05 17:30:00,20.4,44.4,101.09,16.4,66.2,472.0
Zone-D,2024-03-05 18:00:00,21.6,47.5,101.28,12.9,69.9,566.0
Zone-A,2024-03-05 18:30:00,23.1,50.1,101.53,15.3,65.5,414.0
Zone-C,2024-03-05 19:00:00,22.4,46.1,101.22,15.5,62.3,524.0
Zone-C,2024-03-05 19:30:00,23.6,47.3,101.32,11.3,61.5,516.0
Zone-A,2024-03-05 20:00:00,23.1,45.5,101.71,13.5,65.6,473.0
Zone-D,2024-03-05 20:30:00,21.6,54.6,101.6,10.0,63.3,648.0
Zone-A,2024-03-05 21:00:00,21.4,51.3,101.53,17.6,56.5,517.0
Zone-D,2024-03-05 21:30:00,24.6,50.1,101.09,11.9,64.4,534.0
Zone-A,2024-03-05 22:00:00,26.3,49.1,101.41,10.4,59.9,475.0
Zone-B,2024-03-05 22:30:00,22.7,49.7,101.31,14.2,64.9,485.0
Zone-C,2024-03-05 23:00:00,20.0,45.5,101.57,12.5,64.3,559.0
Zone-C,2024-03-05 23:30:00,21.6,52.6,101.12,19.7,65.7,499.0
Zone-D,2024-03-06 00:00:00,21.8,52.3,101.35,5.4,63.7,516.0
Zone-C,2024-03-06 00:30:00,20.5,48.5,101.22,19.8,66.8,516.0
Zone-D,2024-03-06 01:00:00,20.3,47.9,101.47,17.0,60.7,570.0
Zone-C,2024-03-06 01:30:00,20.7,51.1,101.85,13.7,65.5,472.0
Zone-D,2024-03-06 02:00:00,22.3,54.3,101.26,14.1,68.3,437.0
Zone-A,2024-03-06 02:30:00,22.1,47.8,101.25,12.3,60.7,390.0
Zone-C,2024-03-06 03:00:00,21.3,50.7,101.46,11.0,65.5,528.0
Zone-D,2024-03-06 03:30:00,22.5,50.8,100.87,14.6,64.8,527.0
Zone-D,2024-03-06 04:00:00,24.1,49.2,101.23,15.4,65.1,522.0
Zone-C,2024-03-06 04:30:00,22.8,49.5,101.4,14.3,60.6,442.0
Zone-D,2024-03-06 05:00:00,18.5,55.0,101.56,18.1,64.4,549.0
Zone-B,2024-03-06 05:30:00,23.3,45.6,101.14,16.6,63.5,465.0
Zone-B,2024-03-06 06:00:00,23.2,47.5,101.8,19.8,64.4,562.0
Zone-A,2024-03-06 06:30:00,22.3,48.8,101.7,16.2,62.3,523.0
Zone-D,2024-03-06 07:00:00,24.5,50.0,101.34,14.1,66.1,451.0
Zone-B,2024-03-06 07:30:00,20.8,49.0,101.33,18.3,64.6,541.0
Zone-B,2024-03-06 08:00:00,21.3,51.8,101.54,14.7,66.1,471.0
Zone-D,2024-03-06 08:30:00,22.9,41.6,100.97,16.7,60.1,476.0
Zone-A,2024-03-06 09:00:00,24.1,52.6,101.78,15.2,64.8,501.0
Zone-A,2024-03-06 09:30:00,20.6,49.4,101.05,18.5,67.2,442.0
Zone-A,2024-03-06 10:00:00,21.0,51.2,101.35,11.9,65.2,529.0
Zone-B,2024-03-06 10:30:00,22.9,55.1,101.35,11.3,61.8,563.0
Zone-D,2024-03-06 11:00:00,24.4,49.9,101.38,15.3,64.1,425.0
Zone-A,2024-03-06 11:30:00,22.7,55.3,101.33,14.1,63.7,525.0
Zone-D,2024-03-06 12:00:00,23.7,51.6,100.93,20.2,67.5,491.0
Zone-D,2024-03-06 12:30:00,21.2,48.7,101.47,9.1,66.5,514.0
Zone-B,2024-03-06 13:00:00,22.4,46.5,100.96,21.7,65.4,597.0
Zone-A,2024-03-06 13:30:00,23.4,50.3,101.35,18.2,68.6,524.0
Zone-A,2024-03-06 14:00:00,23.6,53.4,101.37,13.2,66.5,463.0
Zone-D,2024-03-06 14:30:00,21.4,51.2,101.28,18.9,63.0,394.0
Zone-C,2024-03-06 15:00:00,24.0,50.1,101.32,12.6,59.3,459.0
Zone-C,2024-03-06 15:30:00,22.9,49.4,101.23,9.9,70.4,497.0
Zone-C,2024-03-06 16:00:00,25.5,51.1,101.61,12.8,60.5,491.0
Zone-D,2024-03-06 16:30:00,22.8,52.0,101.38,21.9,66.2,484.0
Zone-D,2024-03-06 17:00:00,21.6,47.6,101.36,18.2,69.2,485.0
Zone-C,2024-03-06 17:30:00,21.9,48.1,101.49,11.3,62.8,292.0
Zone-C,2024-03-06 18:00:00,20.2,48.2,101.2,11.1,61.6,563.0
Zone-D,2024-03-06 18:30:00,20.8,44.6,101.09,11.9,64.8,518.0
Zone-D,2024-03-06 19:00:00,20.0,50.9,101.58,18.0,66.7,520.0
Zone-C,2024-03-06 19:30:00,21.5,54.3,101.39,12.6,64.5,466.0
Zone-C,2024-03-06 20:00:00,21.8,53.6,101.26,12.6,68.1,564.0
Zone-C,2024-03-06 20:30:00,20.8,54.4,101.49,13.3,68.7,438.0
Zone-D,2024-03-06 21:00:00,21.3,46.7,101.1,17.6,65.0,444.0
Zone-C,2024-03-06 21:30:00,21.1,48.0,101.35,21.8,65.6,514.0
Zone-A,2024-03-06 22:00:00,24.3,48.4,101.57,13.7,63.9,484.0
Zone-B,2024-03-06 22:30:00,21.8,49.5,101.37,13.7,65.3,419.0
Zone-C,2024-03-06 23:00:00,23.2,53.4,101.34,17.2,62.5,576.0
Zone-D,2024-03-06 23:30:00,22.3,45.2,101.54,17.2,70.6,583.0
Zone-D,2024-03-07 00:00:00,24.0,51.4,101.44,11.8,64.2,649.0
Zone-C,2024-03-07 00:30:00,19.4,50.9,101.29,17.6,65.6,561.0
Zone-A,2024-03-07 01:00:00,22.0,52.3,101.37,14.1,63.7,564.0
Zone-A,2024-03-07 01:30:00,22.9,53.0,101.55,13.4,64.2,483.0
Zone-A,2024-03-07 02:00:00,23.5,50.3,101.34,11.8,67.5,543.0
Zone-D,2024-03-07 02:30:00,22.8,50.5,101.51,14.9,69.3,536.0
Zone-D,2024-03-07 03:00:00,20.1,49.6,101.36,12.9,68.2,401.0
Zone-C,2024-03-07 03:30:00,23.2,52.1,100.9,15.3,63.7,571.0
Zone-D,2024-03-07 04:00:00,20.7,52.4,101.5,13.8,68.9,479.0
Zone-B,2024-03-07 04:30:00,24.0,57.8,101.49,16.8,63.6,593.0
Zone-C,2024-03-07 05:00:00,23.3,48.6,101.6,15.3,67.0,479.0
Zone-A,2024-03-07 05:30:00,20.6,47.3,101.22,16.5,64.1,460.0
Zone-C,2024-03-07 06:00:00,20.6,53.8,101.28,9.1,65.0,479.0
Zone-A,2024-03-07 06:30:00,22.3,48.3,101.56,14.5,64.4,484.0
Zone-D,2024-03-07 07:00:00,22.7,51.2,101.22,15.1,64.2,542.0
Zone-D,2024-03-07 07:30:00,20.1,49.0,101.26,19.2,68.5,520.0
Zone-C,2024-03-07 08:00:00,20.5,50.2,101.68,14.6,65.4,509.0
Zone-C,2024-03-07 08:30:00,20.7,47.6,101.14,14.1,66.3,508.0
Zone-C,2024-03-07 09:00:00,22.8,56.5,101.82,15.3,67.8,533.0
Zone-A,2024-03-07 09:30:00,23.6,53.1,101.19,20.9,69.6,548.0
Zone-B,2024-03-07 10:00:00,23.0,51.2,101.34,17.4,65.8,519.0
Zone-B,2024-03-07 10:30:00,22.0,49.6,101.68,15.6,64.1,515.0
Zone-C,2024-03-07 11:00:00,20.4,53.2,101.33,14.4,64.1,427.0
Zone-C,2024-03-07 11:30:00,24.9,51.0,101.69,14.6,66.8,543.0
Zone-C,2024-03-07 12:00:00,22.9,49.0,100.97,22.2,63.2,634.0
Zone-A,2024-03-07 12:30:00,21.3,54.5,101.44,17.3,63.5,486.0
Zone-D,2024-03-07 13:00:00,21.6,50.8,101.28,13.8,62.6,464.0
Zone-C,2024-03-07 13:30:00,22.8,47.9,101.08,15.4,58.5,500.0
Zone-A,2024-03-07 14:00:00,22.1,51.7,101.37,11.2,64.4,533.0
Zone-B,2024-03-07 14:30:00,22.6,47.7,101.38,17.7,62.1,402.0
Zone-B,2024-03-07 15:00:00,24.7,50.9,101.21,13.5,65.4,552.0
Zone-B,2024-03-07 15:30:00,19.7,48.8,101.63,17.5,67.2,520.0
Zone-D,2024-03-07 16:00:00,22.5,48.6,101.19,17.4,63.4,514.0
Zone-D,2024-03-07 16:30:00,22.2,56.6,101.27,18.5,67.1,494.0
Zone-A,2024-03-07 17:00:00,20.1,49.8,101.48,11.3,67.5,567.0
Zone-B,2024-03-07 17:30:00,22.1,52.7,101.33,16.7,69.5,422.0
Zone-C,2024-03-07 18:00:00,20.9,53.8,101.59,10.8,69.7,371.0
Zone-D,2024-03-07 18:30:00,22.9,50.7,101.15,13.0,63.1,490.0
Zone-A,2024-03-07 19:00:00,25.0,52.5,101.59,14.0,65.7,446.0
Zone-A,2024-03-07 19:30:00,21.6,48.3,101.4,12.9,62.5,520.0
Zone-D,2024-03-07 20:00:00,21.9,47.9,101.13,12.9,67.4,521.0
Zone-A,2024-03-07 20:30:00,20.9,47.9,101.07,13.8,65.4,456.0
Zone-B,2024-03-07 21:00:00,25.3,51.9,101.29,15.3,60.8,440.0
Zone-D,2024-03-07 21:30:00,24.0,54.9,100.86,16.4,69.1,483.0
Zone-B,2024-03-07 22:00:00,24.3,52.3,101.39,14.3,65.3,478.0
Zone-A,2024-03-07 22:30:00,22.4,50.8,101.21,9.2,64.4,449.0
Zone-C,2024-03-07 23:00:00,20.3,47.9,101.47,11.7,62.3,535.0
Zone-C,2024-03-07 23:30:00,20.9,46.6,101.46,14.6,65.2,489.0
Zone-B,2024-03-08 00:00:00,22.6,52.1,101.28,10.5,65.9,483.0
Zone-B,2024-03-08 00:30:00,23.3,47.3,101.24,10.6,67.3,561.0
Zone-D,2024-03-08 01:00:00,21.3,49.4,101.14,12.9,67.1,475.0
