material_batch_id,supplier,material_type,carbon_content,silicon_content,manganese_content,phosphorus_content,sulfur_content,raw_hardness,tensile_strength,inspection_date,material_status,risk_reason,storage_temperature,storage_humidity
MBATCH-0042,A,QT500,3.686,2.324,0.606,0.058,0.016,157.4,411.8,2024-04-08,NORMAL,,17.6,57.7
MBATCH-0043,A,HT300,3.261,2.16,0.649,0.044,0.032,183.4,248.9,2024-04-07,NORMAL,,24.2,53.3
MBATCH-0044,A,QT450,3.634,2.512,0.582,0.052,0.015,163.7,466.7,2024-05-28,NORMAL,,23.9,40.1
MBATCH-0045,C,HT300,3.128,1.704,0.608,0.07,0.017,178.3,259.7,2024-03-13,RISK,硅含量偏低,21.3,47.5
MBATCH-0046,A,HT250,3.141,2.119,0.591,0.057,0.022,150.8,223.7,2024-03-05,NORMAL,,21.0,54.9
MBATCH-0047,A,QT450,3.435,2.43,0.63,0.055,0.017,168.5,423.8,2024-04-18,NORMAL,,27.9,52.3
MBATCH-0048,C,QT500,3.684,1.933,0.662,0.045,0.02,177.1,432.4,2024-04-18,RISK,硅含量偏低,20.3,49.8
MBATCH-0049,A,HT250,3.141,2.11,0.558,0.057,0.018,196.4,249.2,2024-04-30,NORMAL,,21.8,58.0
MBATCH-0050,A,HT300,3.15,2.067,0.565,0.052,0.016,187.8,249.3,2024-05-09,NORMAL,,23.7,53.6
MBATCH-0051,B,QT500,3.449,2.341,0.584,0.05,0.022,184.5,449.4,2024-05-28,NORMAL,,20.6,47.1
MBATCH-0052,C,HT300,3.252,1.648,0.628,0.056,0.028,175.2,245.1,2024-03-20,RISK,硅含量偏低,17.4,45.3
MBATCH-0053,A,HT250,3.104,2.14,0.69,0.056,0.025,172.9,232.0,2024-05-16,NORMAL,,21.5,46.9
MBATCH-0054,B,HT300,3.114,2.117,0.541,0.058,0.018,179.5,251.5,2024-04-20,NORMAL,,21.1,56.3
MBATCH-0055,B,HT300,3.039,2.203,0.583,0.059,0.021,188.5,248.2,2024-03-09,NORMAL,,22.5,55.5
MBATCH-0056,C,QT450,3.51,2.106,0.618,0.043,0.018,188.9,425.2,2024-05-09,RISK,硅含量偏低,23.6,48.2
MBATCH-0057,C,HT250,3.071,1.717,0.565,0.044,0.017,181.1,244.2,2024-04-29,RISK,硅含量偏低,22.8,55.1
MBATCH-0058,B,QT450,3.554,2.544,0.703,0.047,0.014,177.1,452.4,2024-03-04,NORMAL,,26.5,48.1
MBATCH-0059,A,HT250,3.228,2.046,0.583,0.038,0.013,193.6,266.0,2024-05-03,NORMAL,,21.3,55.3
MBATCH-0060,A,HT300,3.069,2.086,0.609,0.063,0.021,185.4,243.0,2024-04-12,NORMAL,,22.5,56.3
MBATCH-0061,C,HT250,3.038,1.791,0.59,0.036,0.019,192.9,242.8,2024-04-29,RISK,硅含量偏低,22.6,41.9
MBATCH-0062,A,QT500,3.317,2.314,0.651,0.049,0.025,191.6,434.8,2024-03-12,NORMAL,,25.1,47.3
MBATCH-0063,A,HT250,3.3,2.177,0.603,0.051,0.022,181.2,244.1,2024-05-23,NORMAL,,21.0,48.1
MBATCH-0064,B,HT300,3.322,1.973,0.575,0.047,0.019,183.0,229.8,2024-03-21,NORMAL,,24.1,54.4
MBATCH-0065,A,HT250,3.267,2.083,0.563,0.047,0.02,186.7,248.8,2024-03-27,NORMAL,,22.7,47.8
MBATCH-0066,C,QT500,3.529,2.38,0.613,0.032,0.022,185.4,460.6,2024-05-05,NORMAL,,20.0,46.4
MBATCH-0067,B,HT250,3.113,2.126,0.633,0.043,0.027,193.0,252.1,2024-05-23,NORMAL,,22.7,41.6
MBATCH-0068,B,QT500,3.447,2.3,0.555,0.055,0.024,188.0,454.8,2024-03-19,NORMAL,,23.0,42.1
MBATCH-0069,A,HT250,3.071,2.083,0.63,0.046,0.013,173.1,236.0,2024-03-04,NORMAL,,18.6,61.1
MBATCH-0070,B,QT450,3.623,2.242,0.504,0.042,0.013,203.8,434.0,2024-05-30,NORMAL,,22.7,47.5
MBATCH-0071,B,QT500,3.383,2.484,0.633,0.049,0.032,182.4,440.9,2024-03-15,NORMAL,,25.8,52.0
MBATCH-0072,B,HT250,3.363,2.097,0.449,0.034,0.025,174.1,253.8,2024-05-12,NORMAL,,24.3,50.9
MBATCH-0073,A,HT250,3.114,2.099,0.605,0.046,0.013,176.4,248.6,2024-04-30,NORMAL,,19.1,45.4
MBATCH-0074,A,QT500,3.428,2.251,0.606,0.052,0.017,166.3,458.1,2024-04-02,NORMAL,,23.1,50.5
MBATCH-0075,B,HT300,3.204,2.148,0.595,0.041,0.02,176.1,248.9,2024-04-22,NORMAL,,23.8,44.0
MBATCH-0076,A,HT300,3.218,2.0,0.554,0.066,0.022,181.6,225.1,2024-03-29,NORMAL,,21.5,39.6
MBATCH-0077,B,QT450,3.504,2.3,0.628,0.052,0.014,183.8,491.9,2024-03-17,NORMAL,,21.6,54.4
MBATCH-0078,A,QT450,3.29,2.437,0.572,0.047,0.023,177.6,417.7,2024-03-19,NORMAL,,25.1,42.7
MBATCH-0079,A,QT500,3.416,2.41,0.607,0.054,0.021,191.5,459.8,2024-03-02,NORMAL,,19.6,37.0
MBATCH-0080,A,QT450,3.515,2.517,0.537,0.04,0.022,184.8,472.4,2024-03-24,NORMAL,,25.3,51.2
MBATCH-0081,A,QT450,3.407,2.328,0.573,0.06,0.017,189.6,419.5,2024-03-11,NORMAL,,22.6,46.2
MBATCH-0082,A,HT250,3.252,2.079,0.64,0.046,0.02,188.1,248.5,2024-05-14,NORMAL,,22.1,53.8
MBATCH-0083,B,QT450,3.492,2.273,0.571,0.031,0.019,184.7,452.5,2024-04-27,NORMAL,,24.8,56.4
MBATCH-0084,B,HT300,3.226,1.909,0.634,0.042,0.024,183.1,259.8,2024-04-18,NORMAL,,23.0,62.0
MBATCH-0085,C,HT250,3.252,1.598,0.654,0.046,0.027,195.4,259.3,2024-03-24,RISK,硅含量偏低,19.4,47.7
MBATCH-0086,B,QT450,3.634,2.56,0.603,0.047,0.014,168.3,454.7,2024-04-10,NORMAL,,23.4,42.6
MBATCH-0087,A,HT300,3.283,2.21,0.632,0.067,0.022,183.7,255.2,2024-03-17,NORMAL,,24.7,52.7
MBATCH-0088,B,QT500,3.447,2.434,0.622,0.048,0.025,180.9,464.1,2024-03-11,NORMAL,,23.0,46.4
MBATCH-0089,C,QT500,3.402,2.343,0.596,0.066,0.02,183.7,467.5,2024-04-08,NORMAL,,21.3,47.9
MBATCH-0090,C,HT250,3.305,2.145,0.572,0.046,0.02,183.3,268.7,2024-05-26,NORMAL,,23.1,45.1
MBATCH-0091,A,QT450,3.421,2.425,0.607,0.042,0.025,157.5,456.7,2024-04-14,NORMAL,,18.9,54.4
MBATCH-0092,C,QT450,3.474,2.46,0.58,0.063,0.011,188.8,437.8,2024-04-14,NORMAL,,22.8,52.1
MBATCH-0093,A,QT500,3.361,2.48,0.62,0.051,0.022,181.3,466.7,2024-03-05,NORMAL,,21.1,54.2
MBATCH-0094,A,HT250,3.257,2.086,0.692,0.055,0.021,185.7,248.4,2024-03-14,NORMAL,,24.4,49.9
MBATCH-0095,C,HT250,3.282,2.015,0.51,0.054,0.018,178.1,214.9,2024-05-08,NORMAL,,25.4,50.5
MBATCH-0096,C,HT250,3.333,1.589,0.605,0.054,0.021,182.3,229.2,2024-04-25,RISK,硅含量偏低,22.6,45.8
MBATCH-0097,C,QT500,3.438,2.401,0.582,0.047,0.026,178.4,442.1,2024-05-29,NORMAL,,21.8,44.4
MBATCH-0098,B,QT500,3.516,2.458,0.616,0.05,0.023,174.5,450.8,2024-04-02,NORMAL,,24.8,48.5
MBATCH-0099,B,QT500,3.561,2.451,0.562,0.057,0.017,184.3,437.5,2024-05-05,NORMAL,,22.6,50.6
MBATCH-0100,C,QT500,3.511,2.022,0.573,0.038,0.02,191.0,461.7,2024-04-29,RISK,硅含量偏低,22.9,47.4
MBATCH-0101,B,HT250,3.219,2.034,0.579,0.054,0.011,197.3,230.0,2024-03-02,NORMAL,,25.8,45.8
MBATCH-0102,C,QT450,3.415,2.368,0.578,0.044,0.018,180.9,432.1,2024-04-03,NORMAL,,23.7,57.1
MBATCH-0103,A,HT300,3.006,2.248,0.639,0.053,0.017,181.7,263.5,2024-04-26,NORMAL,,27.2,61.0
MBATCH-0104,C,HT250,3.047,2.083,0.604,0.063,0.02,172.4,250.8,2024-03-15,NORMAL,,21.2,54.9
MBATCH-0105,C,HT250,3.439,2.173,0.648,0.062,0.022,176.0,245.5,2024-05-19,NORMAL,,24.2,51.4
MBATCH-0106,C,HT300,3.102,1.805,0.561,0.039,0.016,183.1,264.6,2024-04-08,RISK,硅含量偏低,22.5,47.2
MBATCH-0107,A,HT250,3.119,2.162,0.595,0.053,0.019,183.0,255.9,2024-04-21,NORMAL,,26.9,52.0
MBATCH-0108,C,HT300,3.161,2.114,0.553,0.04,0.026,183.0,266.8,2024-05-20,NORMAL,,18.8,45.1
MBATCH-0109,A,HT300,3.23,2.034,0.529,0.039,0.018,184.1,275.7,2024-04-11,NORMAL,,19.9,45.0
MBATCH-0110,A,QT450,3.355,2.446,0.606,0.04,0.016,178.8,448.7,2024-05-09,NORMAL,,19.9,50.9
MBATCH-0111,B,QT500,3.362,2.404,0.591,0.054,0.026,176.3,450.0,2024-04-04,NORMAL,,18.0,59.9
MBATCH-0112,B,HT250,3.014,2.093,0.473,0.042,0.029,191.4,264.8,2024-05-04,NORMAL,,21.6,58.3
MBATCH-0113,A,HT250,3.226,2.155,0.732,0.061,0.02,185.1,271.1,2024-03-29,NORMAL,,23.2,53.9
MBATCH-0114,C,QT500,3.629,2.602,0.553,0.057,0.022,176.1,437.1,2024-04-25,NORMAL,,25.3,44.9
MBATCH-0115,A,HT300,3.059,2.055,0.511,0.042,0.015,180.9,271.7,2024-03-02,NORMAL,,20.8,54.3
MBATCH-0116,A,HT250,3.275,1.922,0.572,0.046,0.022,185.7,255.0,2024-03-22,NORMAL,,20.2,46.8
MBATCH-0117,A,QT500,3.35,2.405,0.582,0.055,0.023,176.7,455.6,2024-05-27,NORMAL,,21.6,44.4
MBATCH-0118,C,HT300,3.12,1.918,0.58,0.044,0.015,188.2,257.9,2024-04-15,NORMAL,,23.1,53.5
MBATCH-0119,B,HT250,3.2,2.099,0.642,0.057,0.025,179.6,235.2,2024-03-27,NORMAL,,22.5,47.1
MBATCH-0120,A,HT250,3.265,2.123,0.603,0.046,0.025,189.2,241.6,2024-03-08,NORMAL,,19.5,50.9
MBATCH-0121,A,HT250,3.319,1.999,0.624,0.042,0.015,189.3,259.8,2024-05-10,NORMAL,,21.7,53.9
MBATCH-0122,C,QT500,3.568,1.881,0.604,0.064,0.022,153.8,428.6,2024-04-07,RISK,硅含量偏低,24.0,47.2
MBATCH-0123,C,QT500,3.612,2.564,0.588,0.044,0.015,187.6,437.9,2024-05-15,NORMAL,,21.2,44.5
MBATCH-0124,A,HT250,3.157,2.043,0.501,0.042,0.024,193.5,248.4,2024-03-01,NORMAL,,22.1,51.4
MBATCH-0125,C,HT250,3.396,1.619,0.537,0.049,0.022,179.7,229.5,2024-03-16,RISK,硅含量偏低,23.8,49.3
MBATCH-0126,B,HT250,3.255,2.224,0.527,0.033,0.023,159.7,244.0,2024-03-03,NORMAL,,20.9,51.8
MBATCH-0127,C,HT250,3.133,2.139,0.547,0.038,0.02,181.1,254.4,2024-05-20,NORMAL,,25.0,56.4
MBATCH-0128,A,HT300,3.245,2.165,0.613,0.062,0.022,174.5,238.7,2024-03-18,NORMAL,,24.3,49.1
MBATCH-0129,C,QT500,3.692,1.912,0.663,0.046,0.022,167.0,413.2,2024-04-28,RISK,硅含量偏低,25.0,47.8
MBATCH-0130,C,QT500,3.599,2.347,0.649,0.046,0.014,186.5,468.9,2024-05-19,NORMAL,,23.3,49.3
MBATCH-0131,A,QT500,3.325,2.314,0.565,0.047,0.026,178.8,407.9,2024-03-02,NORMAL,,16.8,46.5
MBATCH-0132,C,QT450,3.449,2.428,0.527,0.036,0.022,193.3,410.7,2024-03-11,NORMAL,,20.5,55.6
MBATCH-0133,C,QT500,3.593,2.326,0.658,0.05,0.023,173.0,455.8,2024-04-03,NORMAL,,19.7,47.3
MBATCH-0134,B,HT300,3.17,2.111,0.72,0.076,0.018,194.8,233.4,2024-03-06,NORMAL,,22.8,46.6
MBATCH-0135,A,HT250,3.155,2.313,0.581,0.044,0.015,172.3,228.7,2024-05-16,NORMAL,,22.4,51.0
MBATCH-0136,C,QT450,3.534,2.399,0.572,0.043,0.021,179.5,437.3,2024-04-01,NORMAL,,21.4,57.7
MBATCH-0137,B,HT250,3.397,2.082,0.563,0.05,0.026,179.6,255.3,2024-03-13,NORMAL,,20.7,44.2
MBATCH-0138,C,HT300,3.276,2.116,0.633,0.033,0.029,182.5,222.9,2024-03-11,NORMAL,,24.0,48.1
MBATCH-0139,A,HT250,3.203,2.062,0.595,0.05,0.012,188.7,251.7,2024-04-10,NORMAL,,22.9,54.1
MBATCH-0140,A,QT450,3.512,2.426,0.526,0.042,0.02,181.9,458.0,2024-05-28,NORMAL,,24.8,49.5
MBATCH-0141,B,QT450,3.536,2.405,0.588,0.048,0.016,178.8,445.6,2024-05-04,NORMAL,,21.7,41.3
MBATCH-0142,A,QT450,3.49,2.33,0.597,0.039,0.02,177.0,437.5,2024-03-20,NORMAL,,22.6,51.9
MBATCH-0143,A,HT300,3.195,2.146,0.579,0.054,0.02,170.0,238.0,2024-05-21,NORMAL,,24.3,57.9
MBATCH-0144,B,HT250,3.271,2.053,0.671,0.056,0.022,198.4,237.1,2024-03-09,NORMAL,,23.5,45.9
MBATCH-0145,B,HT300,3.139,2.308,0.625,0.068,0.023,184.0,240.6,2024-04-11,NORMAL,,24.0,50.1
MBATCH-0146,A,QT450,3.508,2.379,0.595,0.05,0.021,179.5,418.9,2024-04-22,NORMAL,,23.1,49.4
MBATCH-0147,B,HT250,2.868,1.973,0.576,0.063,0.023,173.1,247.1,2024-04-27,NORMAL,,24.2,46.9
MBATCH-0148,B,QT500,3.391,2.47,0.656,0.044,0.022,179.6,438.2,2024-05-13,NORMAL,,24.3,46.7
MBATCH-0149,C,QT450,3.576,2.005,0.591,0.044,0.015,177.5,439.8,2024-05-30,RISK,硅含量偏低,22.2,44.0
MBATCH-0150,B,QT500,3.485,2.432,0.566,0.057,0.024,167.9,434.8,2024-04-25,NORMAL,,19.3,52.1
MBATCH-0151,B,HT300,3.213,1.972,0.567,0.053,0.021,192.1,232.7,2024-03-07,NORMAL,,22.0,45.0
MBATCH-0152,A,HT250,3.211,2.086,0.614,0.046,0.024,172.9,234.8,2024-05-10,NORMAL,,22.5,59.3
MBATCH-0153,A,QT450,3.348,2.308,0.612,0.061,0.022,173.9,458.4,2024-05-22,NORMAL,,23.0,46.6
MBATCH-0154,C,HT250,3.282,2.097,0.513,0.049,0.017,193.0,230.1,2024-05-30,NORMAL,,21.0,51.3
MBATCH-0155,C,HT250,3.442,2.256,0.598,0.053,0.023,169.9,250.2,2024-03-20,NORMAL,,24.7,50.7
MBATCH-0156,A,HT300,3.395,2.064,0.596,0.049,0.013,191.1,245.0,2024-05-05,NORMAL,,22.5,47.0
MBATCH-0157,B,QT450,3.673,2.499,0.603,0.038,0.024,190.8,431.5,2024-03-01,NORMAL,,21.7,50.4
MBATCH-0158,A,QT500,3.609,2.388,0.648,0.042,0.015,198.3,423.8,2024-03-19,NORMAL,,20.5,53.9
MBATCH-0159,A,QT450,3.447,2.355,0.59,0.028,0.026,181.8,433.8,2024-05-04,NORMAL,,18.6,43.2
MBATCH-0160,A,QT500,3.341,2.418,0.612,0.056,0.024,186.3,480.8,2024-04-03,NORMAL,,24.4,54.8
MBATCH-0161,C,QT450,3.524,2.458,0.579,0.048,0.029,174.4,437.4,2024-04-29,NORMAL,,21.3,47.3
MBATCH-0162,A,QT450,3.454,2.419,0.614,0.059,0.031,176.3,448.7,2024-05-21,NORMAL,,18.3,43.5
MBATCH-0163,A,QT500,3.485,2.437,0.625,0.056,0.026,197.1,445.1,2024-04-09,NORMAL,,20.4,53.3
MBATCH-0164,A,HT300,3.293,2.111,0.591,0.045,0.02,186.9,240.0,2024-04-14,NORMAL,,20.4,53.0
MBATCH-0165,B,HT250,3.115,2.112,0.605,0.05,0.017,197.3,256.0,2024-03-02,NORMAL,,21.0,51.7
MBATCH-0166,B,HT250,3.383,2.107,0.677,0.039,0.016,158.6,279.6,2024-03-21,NORMAL,,18.6,50.9
MBATCH-0167,C,HT250,3.374,2.178,0.619,0.063,0.017,185.2,248.3,2024-05-11,NORMAL,,21.7,51.0
MBATCH-0168,A,QT450,3.618,2.525,0.587,0.039,0.016,199.5,479.6,2024-03-14,NORMAL,,19.8,58.3
MBATCH-0169,C,HT250,3.129,2.153,0.564,0.072,0.017,169.5,243.2,2024-03-09,NORMAL,,27.3,51.3
MBATCH-0170,C,HT300,3.097,2.037,0.513,0.055,0.014,191.1,261.9,2024-04-11,NORMAL,,21.8,56.2
MBATCH-0171,B,HT250,3.293,2.113,0.562,0.054,0.022,184.9,251.2,2024-04-06,NORMAL,,22.7,51.5
MBATCH-0172,C,QT500,3.636,1.898,0.55,0.051,0.016,182.1,427.7,2024-03-05,RISK,硅含量偏低,20.1,60.3
MBATCH-0173,A,QT500,3.477,2.306,0.594,0.06,0.026,165.4,434.7,2024-05-17,NORMAL,,22.4,49.8
MBATCH-0174,A,HT300,3.04,1.985,0.547,0.032,0.018,191.9,240.0,2024-03-08,NORMAL,,24.2,50.1
MBATCH-0175,B,QT500,3.482,2.267,0.658,0.051,0.012,183.8,438.2,2024-04-22,NORMAL,,22.1,51.2
MBATCH-0176,A,HT250,3.322,2.01,0.629,0.063,0.033,190.5,255.4,2024-03-11,NORMAL,,22.6,57.8
MBATCH-0177,A,HT300,3.171,2.164,0.71,0.049,0.01,171.4,254.4,2024-05-06,NORMAL,,20.3,48.3
MBATCH-0178,A,QT500,3.47,2.445,0.553,0.044,0.027,175.2,464.5,2024-03-12,NORMAL,,22.0,49.9
MBATCH-0179,A,HT250,3.274,1.951,0.622,0.056,0.024,176.2,250.0,2024-03-23,NORMAL,,17.1,46.7
MBATCH-0180,A,HT300,3.218,2.218,0.692,0.047,0.024,178.5,225.8,2024-05-12,NORMAL,,23.2,59.2
MBATCH-0181,C,QT500,3.462,1.927,0.603,0.049,0.033,190.1,452.6,2024-03-12,RISK,硅含量偏低,16.2,49.3
MBATCH-0182,A,HT250,3.385,2.106,0.641,0.054,0.018,196.9,252.8,2024-05-23,NORMAL,,20.6,50.1
MBATCH-0183,B,QT450,3.643,2.282,0.614,0.051,0.012,187.7,455.1,2024-03-02,NORMAL,,23.8,55.7
MBATCH-0184,B,QT500,3.494,2.356,0.529,0.044,0.02,170.4,461.7,2024-04-25,NORMAL,,20.2,41.2
MBATCH-0185,B,HT300,3.142,2.115,0.537,0.041,0.017,175.0,254.5,2024-04-03,NORMAL,,23.3,47.6
MBATCH-0186,B,QT500,3.396,2.411,0.626,0.066,0.026,167.4,447.2,2024-03-06,NORMAL,,22.9,45.7
MBATCH-0187,B,HT300,3.165,2.154,0.612,0.05,0.017,165.5,245.3,2024-03-19,NORMAL,,21.8,42.7
MBATCH-0188,B,QT500,3.505,2.431,0.565,0.054,0.021,177.0,441.7,2024-03-29,NORMAL,,21.3,45.7
MBATCH-0189,C,QT450,3.534,2.332,0.561,0.055,0.019,180.6,415.8,2024-03-04,NORMAL,,21.0,58.4
MBATCH-0190,A,HT250,3.022,2.24,0.613,0.045,0.019,192.3,215.8,2024-04-12,NORMAL,,24.8,51.3
MBATCH-0191,A,HT250,3.301,1.96,0.589,0.027,0.026,170.2,235.0,2024-04-16,NORMAL,,18.1,52.2
MBATCH-0192,B,HT300,3.207,2.04,0.613,0.042,0.011,176.4,274.7,2024-04-09,NORMAL,,23.9,52.3
MBATCH-0193,B,HT300,3.224,2.071,0.637,0.056,0.02,182.0,225.9,2024-04-03,NORMAL,,21.0,44.0
MBATCH-0194,A,QT450,3.379,2.438,0.537,0.058,0.025,179.4,437.9,2024-05-11,NORMAL,,24.1,52.8
MBATCH-0195,B,HT250,3.32,2.013,0.587,0.048,0.021,186.2,252.1,2024-05-02,NORMAL,,24.7,48.1
MBATCH-0196,B,HT300,3.095,2.047,0.56,0.045,0.019,177.7,253.5,2024-03-21,NORMAL,,21.1,55.2
MBATCH-0197,B,HT250,3.006,1.922,0.65,0.059,0.026,186.4,250.0,2024-05-26,NORMAL,,21.5,42.0
MBATCH-0198,A,QT500,3.515,2.285,0.723,0.04,0.02,195.1,442.7,2024-05-25,NORMAL,,21.3,37.1
MBATCH-0199,A,QT500,3.369,2.445,0.684,0.041,0.021,207.1,461.3,2024-04-27,NORMAL,,24.0,46.2
MBATCH-0200,A,QT500,3.655,2.345,0.557,0.065,0.017,180.0,482.5,2024-04-23,NORMAL,,20.2,48.8
