record_id,batch_id,timestamp,heating_temperature,forming_pressure,spindle_speed,coolant_flow,vibration_amplitude,current_intensity,mold_temperature,feed_rate,lubricant_flow,clamp_force,equipment_id,operator_id
REC-000027,BATCH-20240301-003,2024-03-01 10:10:00,845.4,119.9,1338.0,23.8,2.42,43.1,184.9,286.0,14.6,80.3,EQ-B01,OP-005
REC-000028,BATCH-20240301-003,2024-03-01 10:15:00,857.2,116.4,1558.0,25.0,,45.7,180.6,294.0,15.1,79.2,EQ-A01,OP-005
REC-000029,BATCH-20240301-003,2024-03-01 10:20:00,850.6,121.7,1579.0,23.5,3.14,42.1,179.5,306.0,15.2,78.8,EQ-B01,OP-001
REC-000030,BATCH-20240301-003,2024-03-01 10:25:00,849.0,118.8,1471.0,26.0,2.61,44.0,182.7,303.0,15.7,81.3,EQ-A01,OP-003
REC-000031,BATCH-20240301-004,2024-03-01 10:30:00,845.9,118.6,1537.0,25.7,2.49,45.2,183.8,294.0,15.4,79.6,EQ-A01,OP-003
REC-000032,BATCH-20240301-004,2024-03-01 10:35:00,848.9,122.7,1541.0,26.0,2.89,45.0,182.0,297.0,15.3,79.7,EQ-A02,OP-002
REC-000033,BATCH-20240301-004,2024-03-01 10:40:00,850.5,121.5,1459.0,27.5,2.2,43.2,183.5,308.0,15.5,81.3,EQ-A01,OP-005
REC-000034,BATCH-20240301-004,2024-03-01 10:45:00,849.9,117.8,1504.0,24.2,,44.8,177.5,297.0,15.3,78.9,EQ-B01,OP-003
REC-000035,BATCH-20240301-004,2024-03-01 10:50:00,845.9,120.6,1512.0,24.4,2.36,45.3,175.7,286.0,14.4,79.6,EQ-A01,OP-001
REC-000036,BATCH-20240301-004,2024-03-01 10:55:00,851.6,123.7,1543.0,24.8,2.49,43.5,179.9,297.0,15.3,78.3,EQ-A02,OP-002
REC-000037,BATCH-20240301-004,2024-03-01 11:00:00,852.6,123.8,1495.0,25.5,2.71,44.4,180.7,300.0,15.1,78.5,EQ-A02,OP-003
REC-000038,BATCH-20240301-004,2024-03-01 11:05:00,850.1,121.2,1573.0,26.2,3.15,43.8,182.6,302.0,16.8,78.4,EQ-A02,OP-005
REC-000039,BATCH-20240301-004,2024-03-01 11:10:00,845.8,118.5,1394.0,24.4,2.27,45.2,181.0,319.0,15.8,78.8,EQ-B01,OP-004
REC-000040,BATCH-20240301-004,2024-03-01 11:15:00,845.5,121.2,1434.0,27.2,2.85,44.3,174.9,314.0,14.9,82.5,EQ-B02,OP-005
REC-000041,BATCH-20240301-005,2024-03-01 11:20:00,842.0,118.5,1500.0,25.1,2.36,45.9,176.8,299.0,15.1,81.0,EQ-A01,OP-003
REC-000042,BATCH-20240301-005,2024-03-01 11:25:00,853.6,117.2,1423.0,,2.6,43.9,184.7,301.0,15.9,80.1,EQ-A02,OP-001
REC-000043,BATCH-20240301-005,2024-03-01 11:30:00,860.3,124.4,1488.0,26.2,2.69,47.1,177.1,307.0,15.8,76.5,EQ-A02,OP-001
REC-000044,BATCH-20240301-005,2024-03-01 11:35:00,844.1,114.9,1487.0,25.9,2.95,45.1,184.9,286.0,13.6,79.9,EQ-A01,OP-005
REC-000045,BATCH-20240301-005,2024-03-01 11:40:00,851.9,119.9,1397.0,24.9,2.11,46.0,181.1,291.0,14.6,77.9,EQ-A02,OP-005
REC-000046,BATCH-20240301-005,2024-03-01 11:45:00,849.7,122.4,1451.0,25.6,2.34,43.8,179.7,290.0,14.6,77.6,EQ-B02,OP-002
REC-000047,BATCH-20240301-005,2024-03-01 11:50:00,859.8,120.1,1465.0,25.3,2.47,44.7,181.8,308.0,14.6,78.8,EQ-A02,OP-001
REC-000048,BATCH-20240301-005,2024-03-01 11:55:00,848.6,114.2,1424.0,26.6,2.99,44.6,181.7,303.0,17.5,82.2,EQ-B02,OP-004
REC-000049,BATCH-20240301-005,2024-03-01 12:00:00,849.4,117.6,1420.0,25.2,2.27,42.9,178.1,289.0,16.3,81.8,EQ-A01,OP-001
REC-000050,BATCH-20240301-005,2024-03-01 12:05:00,850.0,123.7,1504.0,24.0,2.96,45.8,176.9,298.0,14.3,77.2,EQ-A01,OP-002
REC-000051,BATCH-20240301-006,2024-03-01 12:10:00,854.6,124.8,1430.0,25.7,2.3,44.3,178.2,291.0,15.0,78.3,EQ-A02,OP-004
REC-000052,BATCH-20240301-006,2024-03-01 12:15:00,851.4,119.9,1488.0,23.9,2.33,46.1,181.5,290.0,15.1,81.5,EQ-A01,OP-004
REC-000053,BATCH-20240301-006,2024-03-01 12:20:00,841.7,121.4,1467.0,25.7,2.27,42.3,175.1,300.0,15.2,78.2,EQ-A01,OP-001
REC-000054,BATCH-20240301-006,2024-03-01 12:25:00,853.2,115.8,1497.0,23.5,2.3,45.1,177.4,296.0,15.8,78.8,EQ-A01,OP-001
REC-000055,BATCH-20240301-006,2024-03-01 12:30:00,854.2,117.2,1526.0,26.7,1.76,43.8,181.7,298.0,15.3,78.8,EQ-A02,OP-004
REC-000056,BATCH-20240301-006,2024-03-01 12:35:00,850.4,119.6,1558.0,25.3,2.6,44.4,178.5,296.0,15.3,79.2,EQ-B02,OP-001
REC-000057,BATCH-20240301-006,2024-03-01 12:40:00,851.4,125.2,1544.0,24.6,,44.4,173.9,290.0,13.5,79.3,EQ-B02,OP-003
REC-000058,BATCH-20240301-006,2024-03-01 12:45:00,850.1,124.2,1516.0,24.7,2.75,41.7,180.7,308.0,13.8,82.3,EQ-B01,OP-004
REC-000059,BATCH-20240301-006,2024-03-01 12:50:00,851.7,119.0,1532.0,27.7,2.55,45.4,178.6,292.0,15.7,78.3,EQ-B02,OP-002
REC-000060,BATCH-20240301-006,2024-03-01 12:55:00,850.4,118.8,1524.0,25.4,2.81,44.2,179.2,290.0,14.6,80.8,EQ-A01,OP-005
REC-000061,BATCH-20240301-007,2024-03-01 13:00:00,853.8,117.7,1543.0,26.6,2.62,47.8,177.7,288.0,13.6,83.0,EQ-B01,OP-001
REC-000062,BATCH-20240301-007,2024-03-01 13:05:00,853.3,119.9,1514.0,23.6,3.23,45.2,180.3,307.0,15.4,80.4,EQ-A02,OP-001
REC-000063,BATCH-20240301-007,2024-03-01 13:10:00,846.0,121.2,1594.0,26.6,2.98,44.2,177.0,299.0,15.0,82.2,EQ-A02,OP-001
REC-000064,BATCH-20240301-007,2024-03-01 13:15:00,841.5,123.8,1492.0,24.5,2.2,42.5,182.5,301.0,14.0,77.4,EQ-A02,OP-004
REC-000065,BATCH-20240301-007,2024-03-01 13:20:00,848.3,124.2,1487.0,23.2,2.43,44.6,171.9,299.0,14.8,81.4,EQ-A02,OP-005
REC-000066,BATCH-20240301-007,2024-03-01 13:25:00,859.2,122.8,1487.0,23.7,3.27,45.1,180.0,300.0,15.2,79.7,EQ-B02,OP-005
REC-000067,BATCH-20240301-007,2024-03-01 13:30:00,847.1,118.6,1498.0,24.3,2.29,45.2,179.2,315.0,12.9,82.2,EQ-B01,OP-002
REC-000068,BATCH-20240301-007,2024-03-01 13:35:00,856.2,114.8,1483.0,24.6,2.08,43.8,176.7,318.0,15.7,82.5,EQ-B01,OP-004
REC-000069,BATCH-20240301-007,2024-03-01 13:40:00,853.6,117.2,1474.0,25.6,2.13,46.1,179.3,296.0,15.6,80.9,EQ-B02,OP-003
REC-000070,BATCH-20240301-007,2024-03-01 13:45:00,848.2,122.9,1446.0,25.7,2.68,44.5,181.0,287.0,15.7,79.6,EQ-A01,OP-004
REC-000071,BATCH-20240301-008,2024-03-01 13:50:00,847.4,122.6,1465.0,23.3,2.03,45.9,176.2,318.0,13.3,83.4,EQ-A01,OP-001
REC-000072,BATCH-20240301-008,2024-03-01 13:55:00,851.1,119.8,1473.0,25.5,2.49,46.7,180.3,302.0,14.7,79.9,EQ-A02,OP-003
REC-000073,BATCH-20240301-008,2024-03-01 14:00:00,851.5,115.7,1433.0,25.9,2.55,44.7,180.1,303.0,14.6,78.4,EQ-B01,OP-003
REC-000074,BATCH-20240301-008,2024-03-01 14:05:00,851.0,117.6,1520.0,23.0,2.81,45.7,180.8,310.0,16.3,82.0,EQ-B01,OP-005
REC-000075,BATCH-20240301-008,2024-03-01 14:10:00,840.8,116.8,1469.0,25.0,2.66,43.9,180.6,292.0,14.5,77.2,EQ-A01,OP-005
REC-000076,BATCH-20240301-008,2024-03-01 14:15:00,845.4,116.6,1451.0,26.3,2.22,48.9,181.5,302.0,14.3,81.4,EQ-A02,OP-003
REC-000077,BATCH-20240301-008,2024-03-01 14:20:00,847.1,120.3,1628.0,24.9,2.84,43.9,179.9,318.0,14.5,83.6,EQ-A02,OP-003
REC-000078,BATCH-20240301-008,2024-03-01 14:25:00,853.5,118.6,1532.0,26.2,2.69,42.6,177.8,298.0,14.9,81.2,EQ-B01,OP-002
REC-000079,BATCH-20240301-008,2024-03-01 14:30:00,850.9,116.7,1519.0,25.7,2.67,46.6,182.5,305.0,14.9,76.7,EQ-B02,OP-003
REC-000080,BATCH-20240301-008,2024-03-01 14:35:00,852.1,120.5,1514.0,23.5,2.18,46.6,179.9,307.0,15.0,80.1,EQ-A01,OP-004
REC-000081,BATCH-20240301-009,2024-03-01 14:40:00,854.7,118.7,1505.0,24.4,,44.5,180.7,295.0,16.0,78.2,EQ-B01,OP-002
REC-000082,BATCH-20240301-009,2024-03-01 14:45:00,849.1,118.9,1572.0,25.2,2.81,42.8,180.8,309.0,15.1,82.1,EQ-B02,OP-005
REC-000083,BATCH-20240301-009,2024-03-01 14:50:00,847.4,123.5,1615.0,24.6,2.37,47.2,184.7,295.0,14.7,79.4,EQ-A01,OP-001
REC-000084,BATCH-20240301-009,2024-03-01 14:55:00,843.3,117.7,1450.0,24.1,2.49,45.4,184.7,290.0,15.8,79.6,EQ-A02,OP-005
REC-000085,BATCH-20240301-009,2024-03-01 15:00:00,849.8,121.7,1444.0,,2.55,45.7,180.9,325.0,14.5,78.9,EQ-A02,OP-004
REC-000086,BATCH-20240301-009,2024-03-01 15:05:00,846.9,118.6,1468.0,26.4,2.93,44.1,177.5,305.0,14.6,81.3,EQ-A01,OP-003
REC-000087,BATCH-20240301-009,2024-03-01 15:10:00,851.0,116.2,1577.0,27.2,2.32,44.4,180.9,303.0,15.5,84.0,EQ-A01,OP-003
REC-000088,BATCH-20240301-009,2024-03-01 15:15:00,849.1,118.0,1431.0,24.1,2.49,47.7,178.4,302.0,15.0,82.4,EQ-B02,OP-005
REC-000089,BATCH-20240301-009,2024-03-01 15:20:00,862.6,118.7,1476.0,26.3,2.7,47.8,181.8,296.0,15.5,82.2,EQ-A02,OP-002
REC-000090,BATCH-20240301-009,2024-03-01 15:25:00,854.1,121.3,1553.0,26.4,2.91,46.0,179.5,301.0,16.0,78.4,EQ-B02,OP-001
REC-000091,BATCH-20240301-010,2024-03-01 15:30:00,851.8,119.0,1501.0,26.5,2.56,45.1,175.9,307.0,15.5,84.3,EQ-B02,OP-002
REC-000092,BATCH-20240301-010,2024-03-01 15:35:00,848.5,120.5,1512.0,26.9,2.47,45.4,181.8,302.0,14.6,80.4,EQ-A01,OP-004
REC-000093,BATCH-20240301-010,2024-03-01 15:40:00,855.4,117.4,1507.0,24.2,2.86,42.7,178.3,304.0,16.3,79.9,EQ-A02,OP-002
REC-000094,BATCH-20240301-010,2024-03-01 15:45:00,847.2,124.7,1428.0,22.4,2.63,44.2,176.9,307.0,15.2,78.9,EQ-B01,OP-002
REC-000095,BATCH-20240301-010,2024-03-01 15:50:00,843.6,122.2,1533.0,24.9,3.05,43.4,175.4,293.0,15.0,80.5,EQ-B02,OP-003
REC-000096,BATCH-20240301-010,2024-03-01 15:55:00,848.8,120.9,1437.0,26.7,2.48,46.7,181.0,305.0,15.5,80.9,EQ-B01,OP-003
REC-000097,BATCH-20240301-010,2024-03-01 16:00:00,853.2,123.3,1510.0,25.9,2.47,47.2,178.0,318.0,15.0,77.1,EQ-B01,OP-001
REC-000098,BATCH-20240301-010,2024-03-01 16:05:00,850.6,118.3,1542.0,24.2,2.37,42.2,178.6,276.0,13.7,81.5,EQ-A02,OP-005
REC-000099,BATCH-20240301-010,2024-03-01 16:10:00,853.9,121.1,1452.0,24.9,2.5,43.3,184.5,309.0,14.8,80.1,EQ-A01,OP-005
REC-000100,BATCH-20240301-010,2024-03-01 16:15:00,851.0,114.9,1488.0,24.2,2.2,44.6,185.4,306.0,14.5,81.1,EQ-B01,OP-004
REC-000101,BATCH-20240301-011,2024-03-01 16:20:00,857.0,122.3,1503.0,24.2,2.71,45.6,182.7,306.0,15.8,78.9,EQ-B02,OP-005
REC-000102,BATCH-20240301-011,2024-03-01 16:25:00,856.6,120.5,1604.0,24.2,,45.3,178.0,295.0,14.7,80.8,EQ-B02,OP-001
REC-000103,BATCH-20240301-011,2024-03-01 16:30:00,852.6,118.6,1499.0,27.6,3.02,45.7,180.1,301.0,15.5,78.0,EQ-A02,OP-003
REC-000104,BATCH-20240301-011,2024-03-01 16:35:00,848.7,115.8,1520.0,25.8,2.36,47.4,176.3,285.0,15.2,82.1,EQ-B01,OP-005
REC-000105,BATCH-20240301-011,2024-03-01 16:40:00,858.4,118.9,1554.0,25.0,2.45,46.3,182.0,284.0,16.2,82.8,EQ-B01,OP-005
REC-000106,BATCH-20240301-011,2024-03-01 16:45:00,846.9,121.0,1525.0,25.3,2.33,44.0,179.9,312.0,15.4,79.3,EQ-B02,OP-003
REC-000107,BATCH-20240301-011,2024-03-01 16:50:00,853.9,112.9,1557.0,22.9,2.39,43.3,176.1,312.0,14.6,80.7,EQ-B02,OP-002
REC-000108,BATCH-20240301-011,2024-03-01 16:55:00,849.8,121.2,1504.0,23.5,2.8,44.3,175.3,296.0,16.2,81.7,EQ-A01,OP-003
REC-000109,BATCH-20240301-011,2024-03-01 17:00:00,848.3,119.1,1484.0,27.5,2.61,45.6,183.1,302.0,14.8,79.6,EQ-B01,OP-004
REC-000110,BATCH-20240301-011,2024-03-01 17:05:00,849.6,119.9,1536.0,25.1,2.72,44.9,180.2,280.0,15.7,80.7,EQ-B02,OP-002
REC-000111,BATCH-20240301-012,2024-03-01 17:10:00,855.0,112.8,1604.0,24.8,2.83,43.4,181.8,289.0,14.5,83.8,EQ-B01,OP-001
REC-000112,BATCH-20240301-012,2024-03-01 17:15:00,849.0,120.5,1544.0,25.6,2.55,45.5,187.2,299.0,15.2,82.1,EQ-B01,OP-002
REC-000113,BATCH-20240301-012,2024-03-01 17:20:00,855.5,123.0,1532.0,23.6,2.99,43.3,180.9,292.0,14.9,80.7,EQ-A01,OP-002
REC-000114,BATCH-20240301-012,2024-03-01 17:25:00,851.6,121.1,1581.0,25.5,2.43,46.4,183.6,288.0,15.5,81.4,EQ-A01,OP-004
REC-000115,BATCH-20240301-012,2024-03-01 17:30:00,848.5,123.4,1492.0,25.2,2.45,45.0,176.7,286.0,16.3,78.3,EQ-A02,OP-004
REC-000116,BATCH-20240301-012,2024-03-01 17:35:00,845.0,114.6,1468.0,23.4,2.99,46.5,177.9,323.0,15.8,79.4,EQ-A01,OP-001
REC-000117,BATCH-20240301-012,2024-03-01 17:40:00,837.5,125.7,1431.0,23.0,2.81,48.7,184.2,306.0,15.5,81.7,EQ-B02,OP-001
REC-000118,BATCH-20240301-012,2024-03-01 17:45:00,853.8,120.7,1505.0,24.9,2.27,44.6,174.9,299.0,14.2,77.8,EQ-A01,OP-004
REC-000119,BATCH-20240301-012,2024-03-01 17:50:00,850.9,123.5,1546.0,23.1,2.2,46.4,177.1,298.0,15.4,78.1,EQ-B01,OP-004
REC-000120,BATCH-20240301-012,2024-03-01 17:55:00,850.5,116.7,1470.0,25.4,2.02,45.7,179.9,306.0,15.2,82.7,EQ-B02,OP-005
REC-000121,BATCH-20240301-013,2024-03-01 18:00:00,850.6,118.9,1506.0,25.7,2.51,45.1,177.9,293.0,13.9,83.5,EQ-B02,OP-004
REC-000122,BATCH-20240301-013,2024-03-01 18:05:00,843.8,118.3,1464.0,26.1,2.41,46.9,178.0,303.0,14.3,84.3,EQ-B01,OP-005
REC-000123,BATCH-20240301-013,2024-03-01 18:10:00,844.1,120.8,1532.0,25.5,2.44,44.8,180.1,299.0,15.8,84.4,EQ-B02,OP-001
REC-000124,BATCH-20240301-013,2024-03-01 18:15:00,847.2,116.6,1496.0,28.1,2.26,47.5,185.0,294.0,15.5,83.3,EQ-B01,OP-003
REC-000125,BATCH-20240301-013,2024-03-01 18:20:00,848.1,119.5,1471.0,23.8,2.31,43.2,180.1,292.0,15.2,76.9,EQ-A02,OP-002
REC-000126,BATCH-20240301-013,2024-03-01 18:25:00,851.7,122.1,1400.0,25.4,2.87,43.2,185.0,304.0,14.4,79.9,EQ-A02,OP-001
REC-000127,BATCH-20240301-013,2024-03-01 18:30:00,852.8,120.2,1527.0,23.9,2.55,42.9,179.7,291.0,14.4,82.5,EQ-B02,OP-004
REC-000128,BATCH-20240301-013,2024-03-01 18:35:00,855.5,121.5,1445.0,24.6,2.86,45.2,187.0,304.0,15.2,79.4,EQ-B02,OP-005
REC-000129,BATCH-20240301-013,2024-03-01 18:40:00,850.7,119.6,1535.0,26.1,,43.0,174.5,305.0,14.1,75.7,EQ-B02,OP-004
REC-000130,BATCH-20240301-013,2024-03-01 18:45:00,851.9,126.2,1500.0,,2.52,44.9,182.8,297.0,15.2,80.6,EQ-B02,OP-004
REC-000131,BATCH-20240301-014,2024-03-01 18:50:00,846.7,122.5,1491.0,24.1,2.66,43.7,180.1,300.0,15.9,80.9,EQ-A02,OP-004
REC-000132,BATCH-20240301-014,2024-03-01 18:55:00,849.9,122.0,1570.0,25.7,2.5,43.0,176.8,297.0,14.5,79.6,EQ-A01,OP-004
REC-000133,BATCH-20240301-014,2024-03-01 19:00:00,850.3,121.3,1496.0,25.6,2.52,42.0,177.2,299.0,14.0,81.2,EQ-B02,OP-002
REC-000134,BATCH-20240301-014,2024-03-01 19:05:00,857.7,123.0,1489.0,26.8,2.54,44.5,178.2,297.0,14.7,80.3,EQ-A01,OP-004
REC-000135,BATCH-20240301-014,2024-03-01 19:10:00,850.8,120.0,1522.0,26.4,2.78,42.8,172.3,309.0,13.9,79.6,EQ-A01,OP-004
REC-000136,BATCH-20240301-014,2024-03-01 19:15:00,844.1,115.5,1527.0,25.9,2.33,41.1,178.4,304.0,13.8,80.4,EQ-A01,OP-003
REC-000137,BATCH-20240301-014,2024-03-01 19:20:00,849.9,121.4,1506.0,23.8,2.86,44.8,179.9,291.0,14.6,78.2,EQ-B01,OP-003
REC-000138,BATCH-20240301-014,2024-03-01 19:25:00,849.1,124.3,1431.0,23.1,2.94,44.7,178.0,310.0,14.5,83.7,EQ-B02,OP-003
REC-000139,BATCH-20240301-014,2024-03-01 19:30:00,853.4,118.8,1608.0,24.3,2.72,45.4,183.9,316.0,15.0,78.5,EQ-A01,OP-003
REC-000140,BATCH-20240301-014,2024-03-01 19:35:00,852.3,118.3,1601.0,25.2,2.39,45.3,176.0,290.0,16.0,78.7,EQ-A01,OP-001
REC-000141,BATCH-20240301-015,2024-03-01 19:40:00,844.8,121.3,1559.0,25.9,2.8,43.9,175.7,315.0,14.7,79.5,EQ-A01,OP-005
REC-000142,BATCH-20240301-015,2024-03-01 19:45:00,856.6,121.4,1523.0,27.6,2.31,46.4,180.2,303.0,16.2,81.0,EQ-A01,OP-005
REC-000143,BATCH-20240301-015,2024-03-01 19:50:00,852.7,122.7,1482.0,24.0,2.19,42.1,186.2,289.0,14.8,79.4,EQ-B01,OP-003
REC-000144,BATCH-20240301-015,2024-03-01 19:55:00,851.5,122.0,1543.0,24.3,2.45,45.4,179.3,316.0,15.4,81.5,EQ-A01,OP-002
REC-000145,BATCH-20240301-015,2024-03-01 20:00:00,853.3,122.9,1509.0,23.4,2.62,44.0,178.4,306.0,16.0,80.0,EQ-A01,OP-003
REC-000146,BATCH-20240301-015,2024-03-01 20:05:00,851.5,124.3,1512.0,28.1,2.67,42.4,182.3,304.0,16.0,81.3,EQ-B02,OP-004
REC-000147,BATCH-20240301-015,2024-03-01 20:10:00,849.3,116.9,1490.0,24.0,2.33,45.9,185.0,304.0,14.0,80.9,EQ-A02,OP-001
REC-000148,BATCH-20240301-015,2024-03-01 20:15:00,856.0,118.5,1493.0,25.0,2.26,46.0,179.6,304.0,14.3,79.1,EQ-A01,OP-005
REC-000149,BATCH-20240301-015,2024-03-01 20:20:00,853.6,119.1,1586.0,24.5,2.57,46.4,175.7,282.0,13.8,82.5,EQ-B02,OP-003
REC-000150,BATCH-20240301-015,2024-03-01 20:25:00,847.2,126.4,1472.0,25.2,2.96,48.0,186.2,312.0,15.8,81.2,EQ-A01,OP-004
REC-000151,BATCH-20240301-016,2024-03-01 20:30:00,853.9,118.6,1459.0,25.0,2.45,44.3,182.1,310.0,15.1,83.0,EQ-B01,OP-004
REC-000152,BATCH-20240301-016,2024-03-01 20:35:00,844.3,119.5,1464.0,22.8,2.48,44.8,184.5,306.0,14.2,83.7,EQ-B01,OP-005
REC-000153,BATCH-20240301-016,2024-03-01 20:40:00,856.1,121.5,1489.0,23.8,2.39,46.6,185.7,315.0,14.6,77.8,EQ-B02,OP-004
REC-000154,BATCH-20240301-016,2024-03-01 20:45:00,850.7,115.6,1516.0,24.8,2.36,42.6,181.5,295.0,14.1,74.3,EQ-B01,OP-003
REC-000155,BATCH-20240301-016,2024-03-01 20:50:00,849.9,124.4,1583.0,24.5,2.32,45.7,177.0,303.0,15.6,82.5,EQ-A01,OP-003
REC-000156,BATCH-20240301-016,2024-03-01 20:55:00,849.5,119.5,1456.0,24.0,2.43,45.6,182.7,292.0,16.2,79.5,EQ-B02,OP-005
REC-000157,BATCH-20240301-016,2024-03-01 21:00:00,849.9,118.1,1379.0,26.1,2.72,44.6,180.2,305.0,13.7,78.9,EQ-A01,OP-004
REC-000158,BATCH-20240301-016,2024-03-01 21:05:00,854.0,116.9,1515.0,23.4,2.64,44.9,175.2,312.0,14.4,78.4,EQ-A02,OP-003
REC-000159,BATCH-20240301-016,2024-03-01 21:10:00,851.0,122.9,1449.0,25.1,2.63,46.0,180.5,296.0,14.3,80.2,EQ-B01,OP-005
REC-000160,BATCH-20240301-016,2024-03-01 21:15:00,844.6,112.7,1522.0,,1.79,43.5,181.9,321.0,15.0,78.5,EQ-A01,OP-002
REC-000161,BATCH-20240301-017,2024-03-01 21:20:00,849.1,123.4,1468.0,24.0,2.36,43.6,180.4,316.0,15.3,79.5,EQ-A02,OP-004
REC-000162,BATCH-20240301-017,2024-03-01 21:25:00,848.5,116.1,1544.0,24.9,2.45,49.8,180.9,292.0,14.7,82.3,EQ-A01,OP-001
REC-000163,BATCH-20240301-017,2024-03-01 21:30:00,850.6,116.4,1546.0,24.2,3.06,46.6,178.7,313.0,15.1,81.7,EQ-A02,OP-003
REC-000164,BATCH-20240301-017,2024-03-01 21:35:00,852.4,117.9,1468.0,26.2,2.4,44.4,177.1,304.0,16.7,77.9,EQ-B01,OP-004
REC-000165,BATCH-20240301-017,2024-03-01 21:40:00,850.1,123.5,1496.0,25.5,2.18,45.6,179.4,310.0,15.9,85.2,EQ-B01,OP-004
REC-000166,BATCH-20240301-017,2024-03-01 21:45:00,852.9,120.8,1510.0,24.6,2.6,44.6,180.5,313.0,14.2,82.3,EQ-A01,OP-002
